ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
RB.SHF,20170901,3927.0,3851.0,3915.0,4097.0,3903.0,4062.0,3993.0,211.0,142.0,5397808.0,21558086.208,3874380.0,
RB.SHF,20170904,4062.0,3993.0,4060.0,4194.0,4040.0,4060.0,4098.0,67.0,105.0,4660264.0,19098801.128,3722486.0,
RB.SHF,20170905,4060.0,4098.0,4060.0,4127.0,4051.0,4084.0,4088.0,-14.0,-10.0,3474268.0,14204138.852,3731902.0,
RB.SHF,20170906,4084.0,4088.0,4081.0,4137.0,3983.0,3986.0,4055.0,-102.0,-33.0,4279668.0,17356353.602,3764716.0,
RB.SHF,20170907,3986.0,4055.0,3998.0,4027.0,3934.0,3958.0,3982.0,-97.0,-73.0,4500946.0,17924327.804,3658508.0,
RB.SHF,20170908,3958.0,3982.0,3951.0,4038.0,3887.0,3916.0,3961.0,-66.0,-21.0,5079692.0,20122481.626,3633306.0,
RB.SHF,20170911,3916.0,3961.0,3912.0,3946.0,3835.0,3915.0,3901.0,-46.0,-60.0,3909502.0,15252143.136,3502388.0,
RB.SHF,20170912,3915.0,3901.0,3915.0,3965.0,3878.0,3959.0,3923.0,58.0,22.0,4357690.0,17095606.246,3525144.0,
RB.SHF,20170913,3959.0,3923.0,3951.0,4001.0,3900.0,3914.0,3948.0,-9.0,25.0,4162678.0,16438009.856,3538916.0,
RB.SHF,20170914,3914.0,3948.0,3913.0,3940.0,3818.0,3831.0,3880.0,-117.0,-68.0,5110450.0,19833459.024,3787372.0,
RB.SHF,20170915,3831.0,3880.0,3831.0,3858.0,3777.0,3805.0,3820.0,-75.0,-60.0,3729164.0,14247319.152,3631466.0,
RB.SHF,20170918,3805.0,3820.0,3808.0,3830.0,3742.0,3801.0,3787.0,-19.0,-33.0,3851596.0,14588793.474,3679306.0,
RB.SHF,20170919,3801.0,3787.0,3796.0,3834.0,3735.0,3740.0,3789.0,-47.0,2.0,3327328.0,12609979.124,3603726.0,
